Pocet replikacii;Pocet technikov;Pocet automechanikov typ 1;Pocet automechanikov typ 2;Pocet vozidiel v systeme;Pocet vozidiel v systeme IS;Pocet vozidel na konci dna;Cas v systeme;Cas v systeme IS;Cakanie na prevzatie;Dlzka rady;Volni technici;Volni automechanici typ 1;Volni automechanici typ 2;Potrebne financie
4338;5;12;7;21,25628539045124;21,16 - 21,36;0,18898363678266883;62,391805935891476;62,23 - 62,56;9,32599464737231;3,755957255064222;1,5272463817623694;1,963223551523295;1,9107162131113973;34000
9999;5;10;5;27,794324354935455;27,68 - 27,91;9,926;84,10736942135905;83,89 - 84,32;29,552322138728893;10,469854213819747;1,7215620707190658;0,7542251789664074;0,5488052210578923;28000
9999;5;11;6;23,47322254973965;23,38 - 23,56;1,9004;70,0143603198204;69,85 - 70,18;15,824059457803553;6,04384958668209;1,6021871707256932;1,3228948970922683;1,0745347409613666;31000
9413;5;12;6;22,148624363329795;22,07 - 22,23;0,6202464414701508;65,46366633973263;65,32 - 65,6;11,850191376365926;4,669468735323665;1,5583994181062666;1,7627337327146282;1,3361859480145237;32500
7349;5;11;7;22,088407608302212;22 - 22,18;0,5955102040816327;65,35305317028923;65,2 - 65,51;11,74190394349029;4,622412938668985;1,5595777476097312;1,5285024338056423;1,5740816423717232;32500
6778;6;11;7;21,845822189967645;21,75 - 21,94;0,5441805576043665;64,4015617609926;64,24 - 64,56;10,752662668132764;4,311302148253046;2,482353018648626;1,509644680367727;1,5437086002520208;33600
9999;5;11;6;23,50816763443417;23,42 - 23,6;1,9138;70,0546463550849;69,89 - 70,22;15,861910705109558;6,061109951574118;1,5989048042738268;1,3149572344604101;1,0677150063968837;31000
9999;5;11;7;22,165932845748127;22,09 - 22,24;0,6272;65,49960137197532;65,36 - 65,64;11,883988453210087;4,680680904212593;1,557788660518152;1,5261616925107484;1,5642042878856954;32500
9999;5;12;7;21,23187248238773;21,17 - 21,3;0,1662;62,32174875720234;62,21 - 62,43;9,229168856808288;3,717731953486649;1,528147407704655;1,962518860371589;1,9126103879846894;34000
9999;4;12;7;23,460013224473393;23,38 - 23,55;1,2039;69,81480253620566;69,66 - 69,97;16,945915015527337;6,466507730622064;0,6540112284405658;2,066203588143213;2,1048886860151925;32900
9999;4;12;6;23,95023993737002;23,86 - 24,04;1,7568;71,46874523894682;71,3 - 71,63;18,338062951251096;6,936648628428196;0,6666805654614334;1,8495539985224236;1,4698953023573293;31400
9999;4;13;6;23,442110947948933;23,36 - 23,53;1,2851;69,76314497279711;69,61 - 69,92;16,89031118454113;6,444627733396809;0,6550517343626117;2,370936844356573;1,8072999843059263;32900
3329;20;20;20;18,38272799634221;18,34 - 18,43;0,004204204204204204;53,75859349721454;53,72 - 53,8;2,548814485008635;1,1187044059290705;15,48350902378672;7,55419039060741;15,734188597724879;82000
5537;20;20;20;23,483224736528058;23,43 - 23,54;0,00036114120621162876;55,59315817046884;55,54 - 55,64;4,3651109662530585;2,2159327543363876;14,7527324720592;5,595820563589529;14,4516073327503;82000
4928;50;50;50;23,333884278735475;23,28 - 23,39;0,007912355447352405;55,29951244793257;55,25 - 55,35;4,09155247445886;2,074358345044704;42,74757087915408;32,360559232368075;43,68241773226138;205000
9999;6;13;6;33,50198154574743;33,37 - 33,63;10,3871;81,88873069094866;81,69 - 82,08;29,018382660218926;12,729543094909564;1,9299751407059027;1,1051542496072801;0,7367868001122633;35100
